what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ide.update.ui,2.0.0.1278614541,"com.aptana.ide.update.ui",1371581668443
started,bundle,org.eclipse.eclipsemonkey,2.0.5.1278445773,"org.eclipse.eclipsemonkey",1371581668466
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,2.0.0.1277749615,"org.eclipse.eclipsemonkey.lang.javascript",1371581668501
started,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1277749615,"org.eclipse.eclipsemonkey.doms",1371581668673
started,bundle,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal",1371581669449
started,bundle,com.aptana.ide.server,2.0.0.1278523018,"com.aptana.ide.server",1371581669480
started,bundle,com.aptana.ide.documentation,2.0.0.1278523018,"com.aptana.ide.documentation",1371581669640
started,bundle,com.aptana.ide.samples.ui,2.0.0.1278614541,"com.aptana.ide.samples.ui",1371581669646
started,bundle,com.aptana.ide.update.portal,2.0.0.1278614541,"com.aptana.ide.update.portal",1371581669662
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1371581669672
opened,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1371581669673
started,bundle,com.aptana.ide.server.core,2.0.0.1278523018,"com.aptana.ide.server.core",1371581669769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371581671031
started,bundle,org.eclipse.papyrus.layouttool,0.8.2.v201202150957,"org.eclipse.papyrus.layouttool",1371581671039
started,bundle,org.eclipse.papyrus.layouttool.subeditor.gmf,0.8.2.v201202150957,"org.eclipse.papyrus.layouttool.subeditor.gmf",1371581671040
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371581671209
started,bundle,org.eclipse.papyrus.navigation,0.8.2.v201202150957,"org.eclipse.papyrus.navigation",1371581671223
started,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1.4.1.v20101119-2230,"org.eclipse.gmf.runtime.diagram.ui.resources.editor",1371581671233
started,bundle,org.eclipse.papyrus.core.adaptor.gmf,0.8.2.v201202150957,"org.eclipse.papyrus.core.adaptor.gmf",1371581671235
started,bundle,org.eclipse.papyrus.core.resourceloading,0.8.2.v201202150957,"org.eclipse.papyrus.core.resourceloading",1371581671237
started,bundle,org.eclipse.emf.facet.widgets.nattable.examples.ecore,0.1.2.v201202140823,"org.eclipse.emf.facet.widgets.nattable.examples.ecore",1371581671238
started,bundle,org.eclipse.papyrus.sysml.table.allocation,0.8.2.v201202150957,"org.eclipse.papyrus.sysml.table.allocation",1371581671241
started,bundle,org.eclipse.papyrus.table.common,0.8.2.v201202150957,"org.eclipse.papyrus.table.common",1371581671244
started,bundle,org.eclipse.emf.facet.widgets.nattable.tableconfiguration,0.1.2.v201202140823,"org.eclipse.emf.facet.widgets.nattable.tableconfiguration",1371581671246
started,bundle,org.eclipse.emf.facet.infra.query.core,0.1.2.v201202140823,"org.eclipse.emf.facet.infra.query.core",1371581671248
started,bundle,org.eclipse.emf.facet.widgets.nattable.instance,0.1.2.v201202140823,"org.eclipse.emf.facet.widgets.nattable.instance",1371581671250
started,bundle,org.eclipse.papyrus.sysml.table.requirement,0.8.2.v201202150957,"org.eclipse.papyrus.sysml.table.requirement",1371581671253
started,bundle,org.eclipse.papyrus.editor,0.8.2.v201202150957,"org.eclipse.papyrus.editor",1371581671261
started,bundle,org.eclipse.gmf.runtime.notation,1.5.0.v20110309-2159,"org.eclipse.gmf.runtime.notation",1371581671273
started,bundle,org.eclipse.gmf.runtime.diagram.ui.actions,1.4.1.v20101221-2230,"org.eclipse.gmf.runtime.diagram.ui.actions",1371581671308
started,bundle,org.eclipse.gmf.runtime.emf.type.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.emf.type.core",1371581671316
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371581671781
